fasta,name,organism,source,genome_assembly
s3://ngi-igenomes/igenomes/Equus_caballus/UCSC/equCab2/Sequence/WholeGenomeFasta/genome.fa,Equus_caballus/UCSC/equCab2,Equus caballus,UCSC,equCab2
s3://ngi-igenomes/igenomes/Escherichia_coli_K_12_DH10B/Ensembl/EB1/Sequence/WholeGenomeFasta/genome.fa,Escherichia_coli_K_12_DH10B/Ensembl/EB1,Escherichia coli K 12 DH10B,Ensembl,EB1
s3://ngi-igenomes/igenomes/Escherichia_coli_K_12_DH10B/NCBI/2008-03-17/Sequence/WholeGenomeFasta/genome.fa,Escherichia_coli_K_12_DH10B/NCBI/2008-03-17,Escherichia coli K 12 DH10B,NCBI,2008-03-17
s3://ngi-igenomes/igenomes/Escherichia_coli_K_12_MG1655/NCBI/2001-10-15/Sequence/WholeGenomeFasta/genome.fa,Escherichia_coli_K_12_MG1655/NCBI/2001-10-15,Escherichia coli K 12 MG1655,NCBI,2001-10-15
s3://ngi-igenomes/igenomes/Gallus_gallus/Ensembl/Galgal4/Sequence/WholeGenomeFasta/genome.fa,Gallus_gallus/Ensembl/Galgal4,Gallus gallus,Ensembl,Galgal4
s3://ngi-igenomes/igenomes/Gallus_gallus/Ensembl/WASHUC2/Sequence/WholeGenomeFasta/genome.fa,Gallus_gallus/Ensembl/WASHUC2,Gallus gallus,Ensembl,WASHUC2
s3://ngi-igenomes/igenomes/Gallus_gallus/NCBI/build2.1/Sequence/WholeGenomeFasta/genome.fa,Gallus_gallus/NCBI/build2.1,Gallus gallus,NCBI,build2.1
s3://ngi-igenomes/igenomes/Gallus_gallus/NCBI/build3.1/Sequence/WholeGenomeFasta/genome.fa,Gallus_gallus/NCBI/build3.1,Gallus gallus,NCBI,build3.1
s3://ngi-igenomes/igenomes/Gallus_gallus/UCSC/galGal3/Sequence/WholeGenomeFasta/genome.fa,Gallus_gallus/UCSC/galGal3,Gallus gallus,UCSC,galGal3
s3://ngi-igenomes/igenomes/Gallus_gallus/UCSC/galGal4/Sequence/WholeGenomeFasta/genome.fa,Gallus_gallus/UCSC/galGal4,Gallus gallus,UCSC,galGal4
