fasta,name,organism,source,genome_assembly,accession,group,pep_sample_name
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/petunia_axillaris/solgenomics/Sol_Genomics_v1_6_2.fa.gz,petunia_axillaris_Sol_Genomics_v1_6_2,Petunia axillaris,SolGenomics,Sol_Genomics_v1_6_2,,petunia_axillaris,petunia_axillaris_Sol_Genomics_v1_6_2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/phaeodactylum_tricornutum/plantref/ASM15095v2.fa.gz,phaeodactylum_tricornutum_ASM15095v2,Phaeodactylum tricornutum,plantref,ASM15095v2,,phaeodactylum_tricornutum,phaeodactylum_tricornutum_ASM15095v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/phalaenopsis_equestris/plantref/Genomics_v1_0.fa.gz,phalaenopsis_equestris_Genomics_v1_0,Phalaenopsis equestris,plantref,Genomics_v1_0,,phalaenopsis_equestris,phalaenopsis_equestris_Genomics_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/phyllostachys_edulis/ncgr/NCGR_v1_0.fa.gz,phyllostachys_edulis_NCGR_v1_0,Phyllostachys edulis,NCGR,NCGR_v1_0,,phyllostachys_edulis,phyllostachys_edulis_NCGR_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/physcomitrella_patens/jgi/JGI_assembly_release_v1_1_and_COSMOSS_annotation_v1_6.fa.gz,physcomitrella_patens_JGI_assembly_release_v1_1_and_COSMOSS_annotation_v1_6,Physcomitrella patens,JGI,JGI_assembly_release_v1_1_and_COSMOSS_annotation_v1_6,,physcomitrella_patens,physcomitrella_patens_JGI_assembly_release_v1_1_and_COSMOSS_annotation_v1_6
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/physcomitrella_patens/jgi/JGI_v3_3.fa.gz,physcomitrella_patens_JGI_v3_3,Physcomitrella patens,JGI,JGI_v3_3,,physcomitrella_patens,physcomitrella_patens_JGI_v3_3
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/physcomitrella_patens/phytozome/Phytozome_9_1_v1_6.fa.gz,physcomitrella_patens_Phytozome_9_1_v1_6,Physcomitrella patens,Phytozome,Phytozome_9_1_v1_6,,physcomitrella_patens,physcomitrella_patens_Phytozome_9_1_v1_6
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/phytophtora_sojae/ensembl/ENSEMBL_protist_release_28.fa.gz,phytophtora_sojae_ENSEMBL_protist_release_28,Phytophtora sojae,Ensembl,ENSEMBL_protist_release_28,,phytophtora_sojae,phytophtora_sojae_ENSEMBL_protist_release_28
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/picea_abies/congenie/ConGenIE_v1_0.fa.gz,picea_abies_ConGenIE_v1_0,Picea abies,ConGenIE,ConGenIE_v1_0,,picea_abies,picea_abies_ConGenIE_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/picochlorum_rcc4223/orcae/ORCAE.fa.gz,picochlorum_rcc4223_ORCAE,Picochlorum RCC4223,ORCAE,ORCAE,,picochlorum_rcc4223,picochlorum_rcc4223_ORCAE
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/picochlorum_sp_senew3/rutgers/SE3_Rutgers_University_1_0.fa.gz,picochlorum_sp_SE3_Rutgers_University_1_0,Picochlorum sp. SENEW3,Rutgers,SE3_Rutgers_University_1_0,,picochlorum_sp_senew3,picochlorum_sp_SE3_Rutgers_University_1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/populus_trichocarpa/jgi/JGI_assembly_release_v3_0_annotation_v3_0.fa.gz,populus_trichocarpa_JGI_assembly_release_v3_0_annotation_v3_0,Populus trichocarpa,JGI,JGI_assembly_release_v3_0_annotation_v3_0,,populus_trichocarpa,populus_trichocarpa_JGI_assembly_release_v3_0_annotation_v3_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/populus_trichocarpa/jgi/JGI_v3_1.fa.gz,populus_trichocarpa_JGI_v3_1,Populus trichocarpa,JGI,JGI_v3_1,,populus_trichocarpa,populus_trichocarpa_JGI_v3_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/prunus_persica/jgi/JGI_release_v1_0.fa.gz,prunus_persica_JGI_release_v1_0,Prunus persica,JGI,JGI_release_v1_0,,prunus_persica,prunus_persica_JGI_release_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/prunus_persica/jgi/JGI_v2_1.fa.gz,prunus_persica_JGI_v2_1,Prunus persica,JGI,JGI_v2_1,,prunus_persica,prunus_persica_JGI_v2_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/pyrus_bretschneideri/peargenome/Pear_Genome_Project_v1_0.fa.gz,pyrus_bretschneideri_Pear_Genome_Project_v1_0,Pyrus bretschneideri,PearGenome,Pear_Genome_Project_v1_0,,pyrus_bretschneideri,pyrus_bretschneideri_Pear_Genome_Project_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ricinus_communis/jcvi/JCVI_1_0.fa.gz,ricinus_communis_JCVI_1_0,Ricinus communis,JCVI,JCVI_1_0,,ricinus_communis,ricinus_communis_JCVI_1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ricinus_communis/jgi/JGI_v0_1.fa.gz,ricinus_communis_JGI_v0_1,Ricinus communis,JGI,JGI_v0_1,,ricinus_communis,ricinus_communis_JGI_v0_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/saccharomyces_cerevisiae_strain_s288c/ensembl/ENSEMBL_release_81.fa.gz,saccharomyces_cerevisiae_ENSEMBL_release_81,Saccharomyces cerevisiae strain S288C,Ensembl,ENSEMBL_release_81,,saccharomyces_cerevisiae_strain_s288c,saccharomyces_cerevisiae_ENSEMBL_release_81
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/saccharum_spontaneum/plantref/v20190103.fa.gz,saccharum_spontaneum_v20190103,Saccharum spontaneum,plantref,v20190103,,saccharum_spontaneum,saccharum_spontaneum_v20190103
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/schizosaccharomyces_pombe/ensembl/ENSEMBL_fungi_release_28.fa.gz,schizosaccharomyces_pombe_ENSEMBL_fungi_release_28,Schizosaccharomyces pombe,Ensembl,ENSEMBL_fungi_release_28,,schizosaccharomyces_pombe,schizosaccharomyces_pombe_ENSEMBL_fungi_release_28
