fasta,name,organism,source,genome_assembly,accession,population
HG02080.alt.pat.f1_v2.unmasked.fa.gz,HG02080.alt.pat.f1_v2,Homo sapiens,HPRC,HG02080.alt.pat.f1_v2,GCA_018504055.1,"Vietnamese Kinh In Ho Chi Minh City, Vietnam"
HG02080.pri.mat.f1_v2.unmasked.fa.gz,HG02080.pri.mat.f1_v2,Homo sapiens,HPRC,HG02080.pri.mat.f1_v2,GCA_018504085.1,"Vietnamese Kinh In Ho Chi Minh City, Vietnam"
HG02109.alt.pat.f1_v2.unmasked.fa.gz,HG02109.alt.pat.f1_v2,Homo sapiens,HPRC,HG02109.alt.pat.f1_v2,GCA_018505865.1,African Ancestry From Barbados In The Caribbean
HG02109.pri.mat.f1_v2.unmasked.fa.gz,HG02109.pri.mat.f1_v2,Homo sapiens,HPRC,HG02109.pri.mat.f1_v2,GCA_018505825.1,African Ancestry From Barbados In The Caribbean
HG02145.alt.pat.f1_v2.unmasked.fa.gz,HG02145.alt.pat.f1_v2,Homo sapiens,HPRC,HG02145.alt.pat.f1_v2,GCA_018852595.1,African Ancestry From Barbados In The Caribbean
HG02145.pri.mat.f1_v2.unmasked.fa.gz,HG02145.pri.mat.f1_v2,Homo sapiens,HPRC,HG02145.pri.mat.f1_v2,GCA_018852585.1,African Ancestry From Barbados In The Caribbean
HG02148.alt.pat.f1_v2.unmasked.fa.gz,HG02148.alt.pat.f1_v2,Homo sapiens,HPRC,HG02148.alt.pat.f1_v2,GCA_018471525.1,"Peruvian In Lima, Peru"
HG02148.pri.mat.f1_v2.unmasked.fa.gz,HG02148.pri.mat.f1_v2,Homo sapiens,HPRC,HG02148.pri.mat.f1_v2,GCA_018471535.1,"Peruvian In Lima, Peru"
HG02257.alt.pat.f1_v2.unmasked.fa.gz,HG02257.alt.pat.f1_v2,Homo sapiens,HPRC,HG02257.alt.pat.f1_v2,GCA_018466835.1,African Caribbean In Barbados
HG02257.pri.mat.f1_v2.unmasked.fa.gz,HG02257.pri.mat.f1_v2,Homo sapiens,HPRC,HG02257.pri.mat.f1_v2,GCA_018466845.1,African Caribbean In Barbados
HG02486.alt.pat.f1_v2.unmasked.fa.gz,HG02486.alt.pat.f1_v2,Homo sapiens,HPRC,HG02486.alt.pat.f1_v2,GCA_018467005.1,African Caribbean In Barbados
HG02486.pri.mat.f1_v2.unmasked.fa.gz,HG02486.pri.mat.f1_v2,Homo sapiens,HPRC,HG02486.pri.mat.f1_v2,GCA_018467015.1,African Caribbean In Barbados
HG02559.alt.pat.f1_v2.unmasked.fa.gz,HG02559.alt.pat.f1_v2,Homo sapiens,HPRC,HG02559.alt.pat.f1_v2,GCA_018466855.1,African Caribbean In Barbados
HG02559.pri.mat.f1_v2.unmasked.fa.gz,HG02559.pri.mat.f1_v2,Homo sapiens,HPRC,HG02559.pri.mat.f1_v2,GCA_018466985.1,African Caribbean In Barbados
HG02572.alt.pat.f1_v2.unmasked.fa.gz,HG02572.alt.pat.f1_v2,Homo sapiens,HPRC,HG02572.alt.pat.f1_v2,GCA_018470435.1,"Gambian In Western Division, The Gambia"
HG02572.pri.mat.f1_v2.unmasked.fa.gz,HG02572.pri.mat.f1_v2,Homo sapiens,HPRC,HG02572.pri.mat.f1_v2,GCA_018470445.1,"Gambian In Western Division, The Gambia"
HG02622.alt.pat.f1_v2.unmasked.fa.gz,HG02622.alt.pat.f1_v2,Homo sapiens,HPRC,HG02622.alt.pat.f1_v2,GCA_018469925.1,"Gambian In Western Division, The Gambia"
HG02622.pri.mat.f1_v2.unmasked.fa.gz,HG02622.pri.mat.f1_v2,Homo sapiens,HPRC,HG02622.pri.mat.f1_v2,GCA_018469875.1,"Gambian In Western Division, The Gambia"
HG02630.alt.pat.f1_v2.unmasked.fa.gz,HG02630.alt.pat.f1_v2,Homo sapiens,HPRC,HG02630.alt.pat.f1_v2,GCA_018469945.1,"Gambian In Western Division, The Gambia"
HG02630.pri.mat.f1_v2.unmasked.fa.gz,HG02630.pri.mat.f1_v2,Homo sapiens,HPRC,HG02630.pri.mat.f1_v2,GCA_018469955.1,"Gambian In Western Division, The Gambia"
HG02717.alt.pat.f1_v2.unmasked.fa.gz,HG02717.alt.pat.f1_v2,Homo sapiens,HPRC,HG02717.alt.pat.f1_v2,GCA_018470425.1,"Gambian In Western Division, The Gambia"
HG02717.pri.mat.f1_v2.unmasked.fa.gz,HG02717.pri.mat.f1_v2,Homo sapiens,HPRC,HG02717.pri.mat.f1_v2,GCA_018469935.1,"Gambian In Western Division, The Gambia"
HG02723.alt.pat.f1_v2.unmasked.fa.gz,HG02723.alt.pat.f1_v2,Homo sapiens,HPRC,HG02723.alt.pat.f1_v2,GCA_018504075.1,"Gambian In Western Division, The Gambia"
HG02723.pri.mat.f1_v2.unmasked.fa.gz,HG02723.pri.mat.f1_v2,Homo sapiens,HPRC,HG02723.pri.mat.f1_v2,GCA_018504065.1,"Gambian In Western Division, The Gambia"
HG02818.alt.pat.f1_v2.unmasked.fa.gz,HG02818.alt.pat.f1_v2,Homo sapiens,HPRC,HG02818.alt.pat.f1_v2,GCA_018503575.1,Gambian In Western Division Of Gambia
HG02818.pri.mat.f1_v2.unmasked.fa.gz,HG02818.pri.mat.f1_v2,Homo sapiens,HPRC,HG02818.pri.mat.f1_v2,GCA_018503585.1,Gambian In Western Division Of Gambia
HG02886.alt.pat.f1_v2.unmasked.fa.gz,HG02886.alt.pat.f1_v2,Homo sapiens,HPRC,HG02886.alt.pat.f1_v2,GCA_018470465.1,"Gambian In Western Division, The Gambia"
HG02886.pri.mat.f1_v2.unmasked.fa.gz,HG02886.pri.mat.f1_v2,Homo sapiens,HPRC,HG02886.pri.mat.f1_v2,GCA_018470455.1,"Gambian In Western Division, The Gambia"
HG03098.alt.pat.f1_v2.unmasked.fa.gz,HG03098.alt.pat.f1_v2,Homo sapiens,HPRC,HG03098.alt.pat.f1_v2,GCA_018506155.1,Mende In Sierra Leone
HG03098.pri.mat.f1_v2.unmasked.fa.gz,HG03098.pri.mat.f1_v2,Homo sapiens,HPRC,HG03098.pri.mat.f1_v2,GCA_018506165.1,Mende In Sierra Leone
HG03453.alt.pat.f1_v2.unmasked.fa.gz,HG03453.alt.pat.f1_v2,Homo sapiens,HPRC,HG03453.alt.pat.f1_v2,GCA_018473305.1,Mende In Sierra Leone
HG03453.pri.mat.f1_v2.unmasked.fa.gz,HG03453.pri.mat.f1_v2,Homo sapiens,HPRC,HG03453.pri.mat.f1_v2,GCA_018472855.1,Mende In Sierra Leone
HG03486.alt.pat.f1_v2.unmasked.fa.gz,HG03486.alt.pat.f1_v2,Homo sapiens,HPRC,HG03486.alt.pat.f1_v2,GCA_018503245.1,Mende Of Sierra Leone
HG03486.pri.mat.f1_v2.unmasked.fa.gz,HG03486.pri.mat.f1_v2,Homo sapiens,HPRC,HG03486.pri.mat.f1_v2,GCA_018503525.1,Mende Of Sierra Leone
HG03492.alt.pat.f1_v2.unmasked.fa.gz,HG03492.alt.pat.f1_v2,Homo sapiens,HPRC,HG03492.alt.pat.f1_v2,GCA_018505835.1,"Punjabi In Lahore, Pakistan"
HG03492.pri.mat.f1_v2.unmasked.fa.gz,HG03492.pri.mat.f1_v2,Homo sapiens,HPRC,HG03492.pri.mat.f1_v2,GCA_018505845.1,"Punjabi In Lahore, Pakistan"
HG03516.alt.pat.f1_v2.unmasked.fa.gz,HG03516.alt.pat.f1_v2,Homo sapiens,HPRC,HG03516.alt.pat.f1_v2,GCA_018469415.1,Esan In Nigeria
HG03516.pri.mat.f1_v2.unmasked.fa.gz,HG03516.pri.mat.f1_v2,Homo sapiens,HPRC,HG03516.pri.mat.f1_v2,GCA_018469425.1,Esan In Nigeria
HG03540.alt.pat.f1_v2.unmasked.fa.gz,HG03540.alt.pat.f1_v2,Homo sapiens,HPRC,HG03540.alt.pat.f1_v2,GCA_018473315.1,"Gambian In Western Division, The Gambia"
HG03540.pri.mat.f1_v2.unmasked.fa.gz,HG03540.pri.mat.f1_v2,Homo sapiens,HPRC,HG03540.pri.mat.f1_v2,GCA_018473295.1,"Gambian In Western Division, The Gambia"
HG03579.alt.pat.f1_v2.unmasked.fa.gz,HG03579.alt.pat.f1_v2,Homo sapiens,HPRC,HG03579.alt.pat.f1_v2,GCA_018472835.1,Mende In Sierra Leone
HG03579.pri.mat.f1_v2.unmasked.fa.gz,HG03579.pri.mat.f1_v2,Homo sapiens,HPRC,HG03579.pri.mat.f1_v2,GCA_018472825.1,Mende In Sierra Leone
NA18906.alt.pat.f1_v2.unmasked.fa.gz,NA18906.alt.pat.f1_v2,Homo sapiens,HPRC,NA18906.alt.pat.f1_v2,GCA_018503285.1,"Yoruban In Ibadan, Nigeria"
NA18906.pri.mat.f1_v2.unmasked.fa.gz,NA18906.pri.mat.f1_v2,Homo sapiens,HPRC,NA18906.pri.mat.f1_v2,GCA_018503255.1,"Yoruban In Ibadan, Nigeria"
NA19240.alt.pat.f1_v2.unmasked.fa.gz,NA19240.alt.pat.f1_v2,Homo sapiens,HPRC,NA19240.alt.pat.f1_v2,GCA_018503265.1,Yoruban
NA19240.pri.mat.f1_v2.unmasked.fa.gz,NA19240.pri.mat.f1_v2,Homo sapiens,HPRC,NA19240.pri.mat.f1_v2,GCA_018503275.1,Yoruban
NA20129.alt.pat.f1_v2.unmasked.fa.gz,NA20129.alt.pat.f1_v2,Homo sapiens,HPRC,NA20129.alt.pat.f1_v2,GCA_018504625.1,Southwest USA
NA20129.pri.mat.f1_v2.unmasked.fa.gz,NA20129.pri.mat.f1_v2,Homo sapiens,HPRC,NA20129.pri.mat.f1_v2,GCA_018504635.1,Southwest USA
NA21309.alt.pat.f1_v2.unmasked.fa.gz,NA21309.alt.pat.f1_v2,Homo sapiens,HPRC,NA21309.alt.pat.f1_v2,GCA_018504665.1,"Kinyawa, Kenya"
NA21309.pri.mat.f1_v2.unmasked.fa.gz,NA21309.pri.mat.f1_v2,Homo sapiens,HPRC,NA21309.pri.mat.f1_v2,GCA_018504655.1,"Kinyawa, Kenya"
