fasta,name,organism,source,accession,genome_assembly
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_929443795.2.fa.gz,bAccGen1.2,Astur gentilis,VGP,GCA_929443795.2,bAccGen1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_023375975.1.fa.gz,AstMex3_surface,Astyanax mexicanus,VGP,GCF_023375975.1,AstMex3_surface
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965140245.1.fa.gz,bAthNoc1.hap1.1,Athene noctua,VGP,GCA_965140245.1,bAthNoc1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965226115.1.fa.gz,fAulStu2.1,Aulonocara stuartgranti,VGP,GCA_965226115.1,fAulStu2.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048301465.1.fa.gz,ASM4830146v1,Aulostomus maculatus,VGP,GCA_048301465.1,ASM4830146v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964211825.1.fa.gz,bAytFer1.hap1.1,Aythya ferina,VGP,GCA_964211825.1,bAytFer1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009819795.1.fa.gz,bAytFul2.pri,Aythya fuligula,VGP,GCF_009819795.1,bAytFul2.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965140915.1.fa.gz,bAytMar2.hap1.1,Aythya marila,VGP,GCA_965140915.1,bAytMar2.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_949987535.1.fa.gz,mBalAcu1.1,Balaenoptera acutorostrata,VGP,GCF_949987535.1,mBalAcu1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965194805.1.fa.gz,mBalBor1.hap1.1,Balaenoptera borealis,VGP,GCA_965194805.1,mBalBor1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009873245.2.fa.gz,mBalMus1.pri.v3,Balaenoptera musculus,VGP,GCF_009873245.2,mBalMus1.pri.v3
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965194825.1.fa.gz,mBalPhy2.hap1.1,Balaenoptera physalus,VGP,GCA_965194825.1,mBalPhy2.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028023285.1.fa.gz,mBalRic1.hap2,Balaenoptera ricei,VGP,GCF_028023285.1,mBalRic1.hap2
